id,name,distance,moving_time,type,average_speed,start_date,total_elevation_gain,gear_id,average_heartrate,elapsed_time,kilojoules,calories,average_cadence,average_watts,weighted_average_watts,sport_type
226583673,"08/23/2013 Mackinac Island, Michigan",17031.6,1:30:00,Run,3.154,2013-08-23 16:38:51+00:00,49.5,,,8:11:12,,,,,,Run
226583674,"08/24/2013 Empire, Michigan",6783.8,1:25:04,Run,1.329,2013-08-24 16:26:40+00:00,165.4,,,4:06:38,,,,,,Run
226583671,"08/28/2013 Midland, Michigan",55679.4,2:05:52,Ride,7.373,2013-08-28 22:44:53+00:00,23.6,,161.5,2:06:46,,,,,,Ride
226583675,"08/31/2013 Midland, Michigan",73582.7,2:47:34,Ride,7.319,2013-08-31 13:28:51+00:00,58.2,,160.2,2:52:54,,,,,,Ride
226583692,"09/03/2013 Midland, Michigan",40300.1,1:56:52,Ride,5.747,2013-09-03 21:32:04+00:00,14.6,,99.2,2:07:08,,,,,,Ride
226583686,"09/04/2013 Midland, Michigan",37012.3,1:22:43,Ride,7.458,2013-09-04 22:08:39+00:00,13.4,,144.6,1:24:21,,,,,,Ride
226583690,"09/08/2013 Midland, Michigan",55151.3,2:02:39,Ride,7.494,2013-09-08 20:37:40+00:00,22.7,,155.1,2:04:17,,,,,,Ride
226583688,"09/10/2013 Midland, Michigan",38514.3,1:24:51,Ride,7.565,2013-09-10 21:58:16+00:00,21.3,,162.2,1:59:37,,,,,,Ride
226583687,"09/22/2013 Midland, Michigan",55782.4,2:07:51,Ride,7.272,2013-09-22 15:50:08+00:00,23.0,,154.3,2:13:44,,,,,,Ride
226583677,"09/24/2013 Midland, Michigan",3563.0,0:07:14,Ride,8.21,2013-09-24 21:41:02+00:00,0.0,,143.8,0:10:18,,,,,,Ride
226583679,"09/28/2013 Midland, Michigan",55234.6,2:10:52,Ride,7.034,2013-09-28 18:07:39+00:00,23.4,,162.4,2:18:32,,,,,,Ride
226583680,"09/29/2013 Midland, Michigan",37086.6,1:27:19,Ride,7.079,2013-09-29 21:23:05+00:00,12.6,,145.7,1:28:34,,,,,,Ride
226583715,"10/02/2013 Midland, Michigan",40785.4,1:34:02,Ride,7.229,2013-10-02 21:28:37+00:00,23.3,,146.6,1:36:58,,,,,,Ride
226583709,"10/05/2013 Midland, Michigan",37342.0,1:28:01,Ride,7.071,2013-10-05 21:18:20+00:00,12.8,,150.9,1:28:56,,,,,,Ride
226583711,"10/08/2013 Midland, Michigan",44471.2,1:41:19,Ride,7.316,2013-10-08 21:06:00+00:00,23.6,,155.2,"1 day, 22:50:01",,,,,,Ride
226583707,"10/10/2013 Midland, Michigan",36893.0,1:22:00,Ride,7.499,2013-10-10 19:56:04+00:00,13.4,,156.4,1:25:54,,,,,,Ride
226583704,"10/15/2013 Midland, Michigan",40806.5,1:30:41,Ride,7.5,2013-10-15 20:58:54+00:00,12.6,,150.5,1:31:20,,,,,,Ride
226583705,"10/18/2013 Midland, Michigan",44609.7,1:42:46,Ride,7.235,2013-10-18 20:00:52+00:00,22.9,,140.0,1:53:20,,,,,,Ride
226583717,"10/23/2013 Midland, Michigan",32596.6,1:11:28,Ride,7.602,2013-10-23 17:22:36+00:00,0.0,,161.5,1:50:02,,,,,,Ride
226584516,"02/06/2014 Vila-seca, Catalunya, Spain",4707.3,0:42:37,Run,1.841,2014-02-06 17:01:31+00:00,0.0,,135.8,0:46:20,,,,,,Run
226584505,"03/30/2014 Midland, Michigan",30458.7,1:18:12,Ride,6.492,2014-03-30 22:36:10+00:00,12.6,,148.6,1:20:09,,,,,,Ride
226584557,"04/05/2014 Midland, Michigan",6501.7,0:16:13,Ride,6.682,2014-04-05 19:59:31+00:00,8.0,,160.6,0:17:00,82.1,,,84.4,,Ride
226584566,"04/05/2014 Midland, Michigan",30516.6,1:17:12,Ride,6.588,2014-04-05 20:16:31+00:00,12.8,,154.4,1:23:47,,,,,,Ride
226584513,"04/07/2014 Midland, Michigan",37515.4,1:37:33,Ride,6.41,2014-04-07 22:00:37+00:00,12.6,,136.5,3:14:51,,,,,,Ride
226584515,"04/12/2014 Midland, Michigan",54682.8,2:18:18,Ride,6.59,2014-04-12 13:33:56+00:00,23.5,,157.3,2:26:35,,,,,,Ride
226584506,"04/17/2014 Midland, Michigan",40970.7,1:36:30,Ride,7.076,2014-04-17 21:41:33+00:00,12.6,,154.3,1:39:35,,,,,,Ride
226584504,"04/20/2014 Midland, Michigan",93.5,0:00:47,Ride,1.989,2014-04-20 21:09:52+00:00,0.0,,97.6,0:02:50,,,,,,Ride
226584507,"04/20/2014 Midland, Michigan",49567.4,1:57:19,Ride,7.042,2014-04-20 21:12:52+00:00,23.2,,155.4,2:01:20,,,,,,Ride
226584510,"04/23/2014 Midland, Michigan",30109.8,1:11:34,Ride,7.012,2014-04-23 23:06:25+00:00,12.7,,148.6,1:14:15,,,,,,Ride
226584508,"04/24/2014 Midland, Michigan",54268.3,2:25:34,Ride,6.213,2014-04-24 21:26:26+00:00,23.6,,126.5,2:53:19,,,,,,Ride
226584520,"05/28/2014 Midland, Michigan",36645.7,1:27:32,Ride,6.977,2014-05-28 22:49:43+00:00,14.4,,150.8,1:28:16,,,,,,Ride
226584517,"05/29/2014 Midland, Michigan",63898.2,2:31:37,Ride,7.024,2014-05-29 21:28:14+00:00,34.1,,142.2,3:38:02,,,,,,Ride
226584539,"06/01/2014 Midland, Michigan",83522.9,3:39:40,Ride,6.337,2014-06-01 17:16:56+00:00,60.0,,155.5,"2 days, 5:31:16",,,,,,Ride
226584525,"06/03/2014 Midland, Michigan",32161.5,1:11:53,Ride,7.457,2014-06-03 22:55:08+00:00,16.0,,131.9,1:35:00,,,,,,Ride
226584533,"06/08/2014 Midland, Michigan",55801.3,2:19:22,Ride,6.673,2014-06-08 21:32:55+00:00,23.6,,152.5,2:22:00,,,,,,Ride
226584526,"06/09/2014 Midland, Michigan",17499.1,0:55:40,Ride,5.239,2014-06-09 23:15:13+00:00,0.0,,96.4,1:02:51,,,,,,Ride
226584524,"06/10/2014 Midland, Michigan",40669.1,1:34:01,Ride,7.21,2014-06-10 23:01:02+00:00,31.3,,148.7,1:42:25,,,,,,Ride
226584519,"06/14/2014 Midland, Michigan",36963.7,1:26:23,Ride,7.132,2014-06-14 22:13:12+00:00,13.1,,157.8,1:26:46,,,,,,Ride
226584521,"06/15/2014 Midland, Michigan",37388.2,1:26:41,Ride,7.189,2014-06-15 22:17:20+00:00,13.1,,155.3,1:27:46,,,,,,Ride
