id,name,brand_name,model_name
b1683032,special ed,Specialized,TriCross
g3714779,Action Zero zero,Action,Zero
b8821498,blue betty ball buster,Trek,1420
b5274657,Kelli Pelli,Peloton,Peloton
g1453101,New Balance zero rise red uglies,New Balance,zero rise
